commodity_observed_name,category_observed_name,ore_unit_observed_name,ore_value,grade_unit_observed_name,grade_value,cutoff_grade_unit_observed_name,cutoff_grade_value,contained_metal,zone
Zinc,inferred,tonnes,16500.0,percent,14.81,percent,12.50,,License 5 Lower Mineralisation
Zinc,inferred,tonnes,16000.0,percent,14.87,percent,13.00,,License 5 Lower Mineralisation
Zinc,inferred,tonnes,13000.0,percent,15.25,percent,13.50,,License 5 Lower Mineralisation
Lead,inferred,tonnes,1937300.0,percent,0.34,percent,0.50,,License 5 Lower Mineralisation
Lead,inferred,tonnes,1492700.0,percent,0.40,percent,1.00,,License 5 Lower Mineralisation
Lead,inferred,tonnes,714800.0,percent,0.52,percent,1.50,,License 5 Lower Mineralisation
Lead,inferred,tonnes,445600.0,percent,0.57,percent,2.00,,License 5 Lower Mineralisation
Lead,inferred,tonnes,276000.0,percent,0.64,percent,2.50,,License 5 Lower Mineralisation
Lead,inferred,tonnes,113500.0,percent,0.78,percent,3.00,,License 5 Lower Mineralisation
Lead,inferred,tonnes,94900.0,percent,0.81,percent,3.50,,License 5 Lower Mineralisation
Lead,inferred,tonnes,80400.0,percent,0.81,percent,4.00,,License 5 Lower Mineralisation
Lead,inferred,tonnes,77500.0,percent,0.81,percent,4.50,,License 5 Lower Mineralisation
Lead,inferred,tonnes,72900.0,percent,0.83,percent,5.00,,License 5 Lower Mineralisation
Lead,inferred,tonnes,65500.0,percent,0.87,percent,5.50,,License 5 Lower Mineralisation
Lead,inferred,tonnes,56200.0,percent,0.92,percent,6.00,,License 5 Lower Mineralisation
Lead,inferred,tonnes,51500.0,percent,0.94,percent,6.50,,License 5 Lower Mineralisation
Lead,inferred,tonnes,47800.0,percent,0.96,percent,7.00,,License 5 Lower Mineralisation
Lead,inferred,tonnes,44300.0,percent,0.98,percent,7.50,,License 5 Lower Mineralisation
Lead,inferred,tonnes,40400.0,percent,1.01,percent,8.00,,License 5 Lower Mineralisation
Lead,inferred,tonnes,38300.0,percent,1.03,percent,8.50,,License 5 Lower Mineralisation
Lead,inferred,tonnes,35500.0,percent,1.05,percent,9.00,,License 5 Lower Mineralisation
Lead,inferred,tonnes,32200.0,percent,1.07,percent,9.50,,License 5 Lower Mineralisation
Lead,inferred,tonnes,28500.0,percent,1.10,percent,10.00,,License 5 Lower Mineralisation
Lead,inferred,tonnes,25000.0,percent,1.12,percent,10.50,,License 5 Lower Mineralisation
Lead,inferred,tonnes,19600.0,percent,1.18,percent,11.00,,License 5 Lower Mineralisation
Lead,inferred,tonnes,18400.0,percent,1.19,percent,11.50,,License 5 Lower Mineralisation
Lead,inferred,tonnes,17200.0,percent,1.20,percent,12.00,,License 5 Lower Mineralisation
Lead,inferred,tonnes,16500.0,percent,1.21,percent,12.50,,License 5 Lower Mineralisation
Lead,inferred,tonnes,16000.0,percent,1.21,percent,13.00,,License 5 Lower Mineralisation
Lead,inferred,tonnes,13000.0,percent,1.23,percent,13.50,,License 5 Lower Mineralisation
Silver,inferred,tonnes,1937300.0,grams per tonne,1.63,percent,0.50,,License 5 Lower Mineralisation
Silver,inferred,tonnes,1492700.0,grams per tonne,1.83,percent,1.00,,License 5 Lower Mineralisation
Silver,inferred,tonnes,714800.0,grams per tonne,2.34,percent,1.50,,License 5 Lower Mineralisation
Silver,inferred,tonnes,445600.0,grams per tonne,2.82,percent,2.00,,License 5 Lower Mineralisation
Silver,inferred,tonnes,276000.0,grams per tonne,3.32,percent,2.50,,License 5 Lower Mineralisation
Silver,inferred,tonnes,113500.0,grams per tonne,4.87,percent,3.00,,License 5 Lower Mineralisation
Silver,inferred,tonnes,94900.0,grams per tonne,4.69,percent,3.50,,License 5 Lower Mineralisation
Silver,inferred,tonnes,80400.0,grams per tonne,4.70,percent,4.00,,License 5 Lower Mineralisation
Silver,inferred,tonnes,77500.0,grams per tonne,4.64,percent,4.50,,License 5 Lower Mineralisation
Silver,inferred,tonnes,72900.0,grams per tonne,4.50,percent,5.00,,License 5 Lower Mineralisation
Silver,inferred,tonnes,65500.0,grams per tonne,4.48,percent,5.50,,License 5 Lower Mineralisation
Silver,inferred,tonnes,56200.0,grams per tonne,4.23,percent,6.00,,License 5 Lower Mineralisation
