commodity_observed_name,category_observed_name,ore_unit_observed_name,ore_value,grade_unit_observed_name,grade_value,cutoff_grade_unit_observed_name,cutoff_grade_value,contained_metal,zone
Silver,inferred,tonnes,66000.0,grams/tonne,2.25,percent,0.60,,Conwest Zone
Nickel,indicated,tonnes,2110000.0,percent,0.52,percent,0.60,,Conwest Zone
Copper,indicated,tonnes,2110000.0,percent,0.36,percent,0.60,,Conwest Zone
Cobalt,indicated,tonnes,2110000.0,percent,0.02,percent,0.60,,Conwest Zone
Sulfur,indicated,tonnes,2110000.0,percent,2.70,percent,0.60,,Conwest Zone
Gold,indicated,tonnes,2110000.0,grams/tonne,0.03,percent,0.60,,Conwest Zone
Platinum,indicated,tonnes,2110000.0,grams/tonne,0.08,percent,0.60,,Conwest Zone
Palladium,indicated,tonnes,2110000.0,grams/tonne,0.02,percent,0.60,,Conwest Zone
Silver,indicated,tonnes,2110000.0,grams/tonne,2.27,percent,0.60,,Conwest Zone
Nickel,indicated,tonnes,671000.0,percent,0.55,percent,0.65,,Conwest Zone
Copper,indicated,tonnes,671000.0,percent,0.38,percent,0.65,,Conwest Zone
Cobalt,indicated,tonnes,671000.0,percent,0.02,percent,0.65,,Conwest Zone
Sulfur,indicated,tonnes,671000.0,percent,2.89,percent,0.65,,Conwest Zone
Gold,indicated,tonnes,671000.0,grams/tonne,0.03,percent,0.65,,Conwest Zone
Platinum,indicated,tonnes,671000.0,grams/tonne,0.09,percent,0.65,,Conwest Zone
Palladium,indicated,tonnes,671000.0,grams/tonne,0.02,percent,0.65,,Conwest Zone
Silver,indicated,tonnes,671000.0,grams/tonne,2.39,percent,0.65,,Conwest Zone
Nickel,indicated,tonnes,223000.0,percent,0.57,percent,0.70,,Conwest Zone
Copper,indicated,tonnes,223000.0,percent,0.39,percent,0.70,,Conwest Zone
Cobalt,indicated,tonnes,223000.0,percent,0.02,percent,0.70,,Conwest Zone
Sulfur,indicated,tonnes,223000.0,percent,2.99,percent,0.70,,Conwest Zone
Gold,indicated,tonnes,223000.0,grams/tonne,0.03,percent,0.70,,Conwest Zone
Platinum,indicated,tonnes,223000.0,grams/tonne,0.09,percent,0.70,,Conwest Zone
Palladium,indicated,tonnes,223000.0,grams/tonne,0.02,percent,0.70,,Conwest Zone
Silver,indicated,tonnes,223000.0,grams/tonne,2.36,percent,0.70,,Conwest Zone
Nickel,inferred,tonnes,65000.0,percent,0.56,percent,0.95,,Conwest Zone
Copper,inferred,tonnes,65000.0,percent,0.30,percent,0.95,,Conwest Zone
Cobalt,inferred,tonnes,65000.0,percent,0.01,percent,0.95,,Conwest Zone
Sulfur,inferred,tonnes,65000.0,percent,2.85,percent,0.95,,Conwest Zone
Gold,inferred,tonnes,65000.0,grams/tonne,0.06,percent,0.95,,Conwest Zone
Platinum,inferred,tonnes,65000.0,grams/tonne,0.16,percent,0.95,,Conwest Zone
Palladium,inferred,tonnes,65000.0,grams/tonne,0.05,percent,0.95,,Conwest Zone
Silver,inferred,tonnes,65000.0,grams/tonne,2.24,percent,0.95,,Conwest Zone
